time_utc,band,de_call,dx_call,de_grid,dx_grid,distance_km,analytic_daylight_fraction,analytic_dark_fraction,sample9_daylight_fraction,sample9_dark_fraction,sample9_min_elevation_deg,sample9_max_elevation_deg,dark_abs_delta,daylight_abs_delta
2026-06-18T18:47:00Z,160m,LZ5DI-#,OK1CF,KN12QP,JO60TL,1144.495036,0.336974,0.066672,0.333333,0.111111,-6.670665,3.390543,0.044439,0.003641
2026-06-18T18:47:00Z,160m,YO2KAR-#,OK1CF,KN15KV,JO60TL,853.349333,0.441820,0.000000,0.444444,0.000000,-4.283490,3.390543,0.000000,0.002624
2026-06-18T18:46:14Z,160m,EU6KA-#,RC6OZ,KO55BE,KN98BI,936.994000,0.000000,0.422294,0.000000,0.444444,-9.547827,-1.146308,0.022150,0.000000
2026-06-18T18:46:14Z,160m,UA3ZUX-#,RC6OZ,KO90DK,KN98BI,231.969708,0.000000,1.000000,0.000000,1.000000,-9.547827,-7.952143,0.000000,0.000000
2026-06-18T18:46:00Z,160m,YO5PLD-#,RC6OZ,KN05NR,KN98BI,1317.872851,0.000000,0.571813,0.000000,0.555556,-9.524333,-3.318863,0.016258,0.000000
2026-06-18T18:45:43Z,160m,RC6OZ-#,EU6KA,KN98BI,KO55BE,936.994000,0.000000,0.416160,0.000000,0.444444,-9.495771,-1.095483,0.028285,0.000000
2026-06-18T18:45:11Z,160m,DL2RMC-#,EU6KA,JN59IF,KO55BE,1472.915198,0.814407,0.000000,0.777778,0.000000,-1.042915,4.555414,0.000000,0.036630
2026-06-18T18:44:44Z,160m,UA3ZUX-#,SV8EUB,KO90DK,KM27KJ,1799.008287,0.000000,1.000000,0.000000,1.000000,-10.637527,-7.808055,0.000000,0.000000
2026-06-18T18:44:15Z,160m,DK8FT-#,SV8EUB,JN58OE,KM27KJ,1633.302313,0.267733,0.316452,0.333333,0.333333,-10.564753,3.863400,0.016881,0.065600
2026-06-18T18:44:00Z,160m,DL8LAS-#,EU6KA,JO54EF,KO55BE,1268.953977,0.889656,0.000000,0.888889,0.000000,-0.925901,7.447343,0.000000,0.000767
2026-06-18T18:43:48Z,160m,IW9GDC-#,RA6ATZ,JM78SD27UB,KN96JC,2101.539912,0.000000,0.755756,0.000000,0.777778,-11.359621,-4.185303,0.022022,0.000000
2026-06-18T18:43:15Z,160m,OE3GBB-#,RN3OX,JN87AQ,LO00BK,1772.992837,0.107985,0.254250,0.111111,0.333333,-8.364216,1.019296,0.079083,0.003126
2026-06-18T18:42:30Z,160m,SM7GXQ-#,R2EC,JO86FP,KO82AX,1314.083470,0.559208,0.000000,0.555556,0.000000,-4.735652,6.006966,0.000000,0.003652
2026-06-18T18:42:30Z,160m,SM2GHI-#,R2EC,KP25AX,KO82AX,1590.130079,0.648972,0.000000,0.666667,0.000000,-4.735652,8.752152,0.000000,0.017695
2026-06-18T18:41:00Z,160m,ON4RST-#,EU6KA,JO20OS,KO55BE,1728.418180,0.935171,0.000000,0.888889,0.000000,-0.626926,8.983838,0.000000,0.046282
2026-06-18T18:41:00Z,160m,OH5AE-#,RN2T,KP30FR,LO26AH,1128.268298,0.498042,0.000000,0.444444,0.000000,-4.647824,4.611586,0.000000,0.053598
2026-06-18T18:41:00Z,160m,HB9RYZ-#,EU6KA,JN47GA,KO55BE,1748.624715,0.895058,0.000000,0.888889,0.000000,-0.626926,5.301683,0.000000,0.006170
2026-06-18T18:41:00Z,160m,SM2GHI-#,RN2T,KP25AX,LO26AH,1506.176276,0.656158,0.000000,0.666667,0.000000,-4.647824,8.869397,0.000000,0.010509
2026-06-18T18:40:44Z,160m,UA3ZUX-#,RN3OX,KO90DK,LO00BK,129.837450,0.000000,1.000000,0.000000,1.000000,-8.127010,-7.418727,0.000000,0.000000
2026-06-18T18:39:45Z,160m,OH0K/6-#,R2EC,KP03SF,KO82AX,1416.003723,0.644284,0.000000,0.666667,0.000000,-4.471070,8.097648,0.000000,0.022382
2026-06-18T18:39:30Z,160m,SM4JST/RX3-#,R2EC,JO79,KO82AX,1479.590895,0.658029,0.000000,0.666667,0.000000,-4.446859,8.555647,0.000000,0.008638
2026-06-18T18:39:30Z,160m,OH5AE-#,R2EC,KP30FR,KO82AX,1037.977500,0.516364,0.000000,0.555556,0.000000,-4.446859,4.747752,0.000000,0.039192
2026-06-18T18:39:30Z,160m,UA3245SWL-#,R2EC,KO85NT,KO82AX,322.752608,0.000000,0.000000,0.000000,0.000000,-4.446859,-2.664452,0.000000,0.000000
2026-06-18T18:39:30Z,160m,DD3SP-#,R2EC,JO72EN65,KO82AX,1452.781600,0.535024,0.000000,0.555556,0.000000,-4.446859,5.115323,0.000000,0.020532
2026-06-18T18:39:30Z,160m,YO5PLD-#,R2EC,KN05NR,KO82AX,1343.691051,0.000000,0.000000,0.000000,0.000000,-4.446859,-2.430479,0.000000,0.000000
2026-06-18T18:39:00Z,160m,SM5RVH-#,EU6KA,JO88LQ,KO55BE,886.484266,0.945059,0.000000,0.888889,0.000000,-0.425777,7.322754,0.000000,0.056170
2026-06-18T18:38:58Z,160m,R2EC-#,RA6ATZ,KO82AX,KN96JC,789.640366,0.000000,0.751416,0.000000,0.777778,-10.844004,-4.395122,0.026362,0.000000
2026-06-18T18:38:43Z,160m,R2EC-#,EU6KA,KO82AX,KO55BE,457.197771,0.000000,0.000000,0.000000,0.000000,-4.370829,-0.397163,0.000000,0.000000
2026-06-18T18:37:30Z,160m,TA4/G8SCU-#,R4DV,KM56VO,LO21XN,2003.980772,0.000000,1.000000,0.000000,1.000000,-14.179783,-8.984707,0.000000,0.000000
2026-06-18T18:37:00Z,160m,OE9GHV-#,EU6KA,JN47WK,KO55BE,1641.309854,0.959982,0.000000,0.888889,0.000000,-0.223177,5.306972,0.000000,0.071093
2026-06-18T18:36:29Z,160m,UA3ZUX-#,UA9ZZ,KO90DK,NO22QH,3216.683015,0.000000,1.000000,0.000000,1.000000,-14.183614,-6.997058,0.000000,0.000000
2026-06-18T18:35:27Z,160m,RT6C-#,R4DV,KN95WH,LO21XN,826.625174,0.000000,1.000000,0.000000,1.000000,-11.552686,-8.814046,0.000000,0.000000
2026-06-18T18:35:15Z,160m,SM7GXQ-#,R4DV,JO86FP,LO21XN,1987.060492,0.437109,0.179233,0.444444,0.222222,-8.797285,6.834762,0.042989,0.007336
2026-06-18T18:35:15Z,160m,SM2GHI-#,R4DV,KP25AX,LO21XN,2018.650053,0.514532,0.154367,0.555556,0.222222,-8.797285,9.323955,0.067855,0.041023
2026-06-18T18:34:15Z,160m,DL0PF-#,EU6KA,JN68RN,KO55BE,1355.543814,1.000000,0.000000,1.000000,0.000000,0.057741,4.200048,0.000000,0.000000
2026-06-18T18:34:00Z,160m,DL8LAS-#,EU6KA,JO54EF,KO55BE,1268.953977,1.000000,0.000000,1.000000,0.000000,0.083413,8.721236,0.000000,0.000000
2026-06-18T18:33:45Z,160m,DL0PF-#,SV8EUB,JN68RN,KM27KJ,1546.979081,0.322685,0.223933,0.333333,0.222222,-8.961361,4.270783,0.001711,0.010648
2026-06-18T18:33:22Z,160m,KD7EFG-#,W3ATT,DN31UO,FN10VO98,3003.210575,1.000000,0.000000,1.000000,0.000000,64.876619,70.830389,0.000000,0.000000
2026-06-18T18:33:14Z,160m,EU6KA-#,RN2T,KO55BE,LO26AH,878.304442,0.038432,0.000000,0.111111,0.000000,-4.051731,0.162277,0.000000,0.072680
2026-06-18T18:33:00Z,160m,UA3245SWL-#,RN2T,KO85NT,LO26AH,432.774682,0.000000,0.000000,0.000000,0.000000,-4.033417,-2.080814,0.000000,0.000000
2026-06-18T18:33:00Z,160m,9V1RS-#,RN2T,OJ11XJ,LO26AH,8078.256199,0.000000,0.968573,0.000000,0.888889,-57.297832,-4.033417,0.079684,0.000000
2026-06-18T18:33:00Z,160m,OH8WX-#,RN2T,KP45CL,LO26AH,1323.643904,0.661090,0.000000,0.666667,0.000000,-4.033417,7.867724,0.000000,0.005577
2026-06-18T18:32:45Z,160m,VK5ARG-2,VK3ALS,PF95IT,QF22KH,677.748072,0.000000,1.000000,0.000000,1.000000,-39.887794,-35.127292,0.000000,0.000000
2026-06-18T18:32:26Z,160m,SP7NC-#,EU6KA,JO91OO,KO55BE,824.953969,1.000000,0.000000,1.000000,0.000000,0.244792,3.016455,0.000000,0.000000
